lat,long
51.68819,4.59392
51.68838,4.59381
51.68827,4.59402
51.68827,4.59402
51.68833,4.59388
51.68826,4.59393
51.68826,4.59393
51.68823,4.59388
51.68827,4.59394
51.68824,4.59388
51.68821,4.59395
51.68821,4.59392
51.68824,4.59387
51.68817,4.59386
51.68827,4.5938300000000005
51.68827,4.5938300000000005
51.68831,4.59382
51.68824,4.59395
51.68824,4.59395
51.68818,4.59388
51.68828,4.59388
51.68828,4.59388
51.68836,4.59387
51.68836,4.59387
51.68836,4.59387
51.68833,4.5938300000000005
51.68821,4.59376
51.68821,4.59376
51.68823,4.59389
51.68824,4.59388
51.6883,4.59387
51.68832,4.59393
51.68826,4.59389
51.68826,4.59389
51.68826,4.59389
51.68826,4.59389
51.6883,4.59391
51.6883,4.59391
51.68831,4.59387
51.68831,4.59387
51.68812,4.59393
51.68828,4.59386
51.68828,4.59386
51.68826,4.59387
51.68831,4.59398
51.68811,4.5939
51.68825,4.594
51.68824,4.5938
51.68824,4.5938
51.68822,4.59387
51.68823,4.59391
51.68827,4.5939
51.68826,4.59396
51.68829,4.59399
51.68829,4.5939
51.68824,4.59396
51.68822,4.59395
51.68822,4.59395
51.68824,4.59395
51.68827,4.59384
51.68827,4.59384
51.68828,4.59389
51.68827,4.59377
51.68827,4.59377
51.68827,4.59377
51.68823,4.59384
51.68828,4.5938300000000005
51.68831,4.59384
51.6883,4.59388
51.6883,4.59388
51.6883,4.59388
51.68825,4.59379
51.68821,4.59389
51.68831,4.59384
51.68823,4.5939
51.68823,4.5939
51.68822,4.59389
51.68828,4.59385
51.68824,4.59395
51.6882,4.59381
51.6883,4.59392
51.6883,4.59392
51.68826,4.59396
51.6882,4.59378
51.68815,4.59394
51.6883,4.59389
51.68818,4.59403
51.68835,4.59381
51.68835,4.59381
51.68823,4.59382
51.68831,4.59388
51.68831,4.59388
51.6883,4.59389
51.68827,4.59389
51.68831,4.59381
51.68827,4.59394
51.68832,4.59387
51.68832,4.59387
51.6883,4.59389
51.95784,4.00828
51.95786,4.00827
51.95784,4.00828
51.95784,4.00828
51.95786,4.00828
51.95782,4.00829
51.95782,4.0083
51.95782,4.0083
51.95784,4.00829
51.95783,4.00827
51.95781,4.0083
51.95783,4.00827
51.95783,4.0083
51.95783,4.0083
51.95785,4.00826
51.95785,4.00827
51.95785,4.0083
51.95784,4.00829
51.95785,4.00824
51.95785,4.00824
51.95785,4.00824
51.95787,4.00822
51.95787,4.00824
51.95785,4.00821
51.95782,4.00823
51.95783,4.00826
51.95783,4.0082
51.95785,4.00818
51.95784,4.00821
51.95786,4.00826
51.95785,4.00823
51.95785,4.00823
51.95785,4.00821
51.95785,4.00819
51.95785,4.00822
51.95787,4.0082
51.95784,4.00823
51.95784,4.00828
51.9579,4.00818
51.95788,4.00824
51.95786,4.00831
51.95786,4.00831
51.95781,4.00825
51.95787,4.00828
51.95786,4.0082
51.95784,4.00818
51.95784,4.00818
51.95785,4.00826
51.95785,4.00823
51.95787,4.00825
51.95787,4.00822
51.95787,4.00822
51.95787,4.00822
51.95786,4.00825
51.95787,4.0083
51.95787,4.0083
51.95781,4.00819
51.95788,4.00826
51.95787,4.00827
51.95783,4.00827
51.95784,4.00822
51.95787,4.00822
51.95788,4.00827
51.95786,4.00826
51.95786,4.00821
51.95787,4.00826
51.95788,4.00825
51.95788,4.00825
51.95788,4.00828
51.95784,4.0083
51.95784,4.0083
51.95787,4.00825
51.95786,4.00829
51.95786,4.00828
51.95784,4.00829
51.95784,4.00829
51.95785,4.0083
51.95791,4.00823
51.95785,4.00828
51.95785,4.00828
51.95783,4.00827
51.95787,4.00825
51.95788,4.00826
51.95784,4.00826
51.95784,4.00826
51.95784,4.00826
51.95785,4.00822
51.95785,4.00822
51.95781,4.00824
51.95783,4.00815
51.9579,4.00822
51.95782,4.00825
51.95787,4.00824
51.95785,4.0083
51.95785,4.00824
51.95784,4.00826
51.95784,4.00824
51.95783,4.00825
51.95783,4.00823
51.95783,4.00823
51.95787,4.00827
51.6883,4.59381
51.68831,4.59395
51.68827,4.59389
51.68821,4.59393
51.68821,4.59393
51.68819,4.59392
51.68833,4.59389
51.68826,4.59392
51.68829,4.59378
51.68824,4.59387
51.68824,4.59387
51.68809,4.59409
51.68829,4.5939
51.6883,4.59394
51.6883,4.59385
51.68828,4.59384
51.68825,4.5939
51.68829,4.59385
51.68831,4.59384
51.68821,4.59392
51.68822,4.59395
51.6883,4.59395
51.68828,4.59392
51.68823,4.59387
51.68825,4.59382
51.68826,4.5938
51.68826,4.5938
51.6884,4.594
51.6884,4.594
51.6883,4.59389
51.68826,4.59387
51.68823,4.59391
51.68818,4.5939
51.68828,4.59394
51.68831,4.59392
51.68821,4.59395
51.68829,4.59395
51.68831,4.59379
51.68821,4.5939
51.68821,4.5939
51.68827,4.59389
51.68822,4.59391
51.6883,4.594
51.68831,4.59372
51.68831,4.59395
51.68831,4.59395
51.6882,4.59392
51.68821,4.5939
51.68826,4.59386
51.68822,4.59386
51.68829,4.59387
51.68823,4.59391
51.68831,4.59384
51.6883,4.59385
51.68827,4.59385
51.68822,4.59382
51.68822,4.59382
51.68825,4.59386
51.6883,4.59391
51.68828,4.59395
51.68828,4.59395
51.68831,4.5939
51.68831,4.59384
51.68825,4.59384
51.68823,4.59393
51.6882,4.59387
51.68827,4.59384
51.68824,4.5939
51.68822,4.59386
51.68824,4.59386
51.68816,4.59387
51.68831,4.59389
51.68824,4.59382
51.68824,4.59382
51.68831,4.59381
51.68825,4.59389
51.68817,4.59385
51.68835,4.59393
51.68828,4.59385
51.68829,4.59394
51.68829,4.59394
51.68829,4.59394
51.68826,4.59387
51.68833,4.59395
51.68822,4.59398
51.68822,4.59398
51.6883,4.5939
51.68824,4.59385
51.68831,4.59404
